,tra_lr_mean,tra_itrdice_0_DSC1,tra_itrdice_0_DSC2,tra_itrdice_0_DSC3,tra_itrdice_0_DSC_mean,tra_itrloss_0_mean,tra_itrdice_1_DSC1,tra_itrdice_1_DSC2,tra_itrdice_1_DSC3,tra_itrdice_1_DSC_mean,tra_itrloss_1_mean,val_itrdice_0_DSC1,val_itrdice_0_DSC2,val_itrdice_0_DSC3,val_itrdice_0_DSC_mean,val_itrloss_0_mean,val_itrdice_1_DSC1,val_itrdice_1_DSC2,val_itrdice_1_DSC3,val_itrdice_1_DSC_mean,val_itrloss_1_mean
10,0.00019999999999999998,0.6535467505455017,0.7355836629867554,0.8375790119171143,0.7422364751497904,0.399277558693519,0.6466258764266968,0.7359431982040405,0.8378672003746033,0.7401454250017802,0.39451269094760605,0.4652338922023773,0.43875542283058167,0.6659919023513794,0.5233270724614462,0.40158385038375854,0.38769230246543884,0.4366914927959442,0.6646464467048645,0.4963434139887492,0.4044324457645416
11,0.00019999999999999998,0.6529794335365295,0.7318022847175598,0.8369826674461365,0.7405881285667419,0.33638227765376755,0.660302460193634,0.7334263920783997,0.8365737199783325,0.7434341907501221,0.3319847588355725,0.6477876305580139,0.428630530834198,0.6375969052314758,0.5713383555412292,0.3450872004032135,0.6174055933952332,0.4246688783168793,0.3278525173664093,0.4566423296928406,0.34790241718292236
12,0.00019969188750662613,0.6453874707221985,0.7350233197212219,0.8351567983627319,0.7385225296020508,0.28739510293190307,0.6457253098487854,0.73564612865448,0.8344925045967102,0.7386213143666586,0.2845793364139703,0.660682201385498,0.4384896457195282,0.6869109869003296,0.5953609446684519,0.29104670882225037,0.6517241597175598,0.43383246660232544,0.6841003894805908,0.5898856719334921,0.2928208112716675
13,0.000198769449642484,0.6487902998924255,0.737640380859375,0.8451522588729858,0.7438609798749288,0.2508325230616789,0.6567995548248291,0.7377061247825623,0.8458789587020874,0.7467948794364929,0.24868653829281143,0.7053942084312439,0.40222135186195374,0.6593186259269714,0.5889780620733897,0.25207769870758057,0.7023809552192688,0.397623747587204,0.6547263860702515,0.5849103629589081,0.25376278162002563
14,0.00019723837354374777,0.6441408395767212,0.738661527633667,0.8404332995414734,0.7410785555839539,0.22152871283201078,0.6450787782669067,0.7394127249717712,0.840380847454071,0.741624116897583,0.21915020942687988,0.7383015751838684,0.4312267601490021,0.6501976251602173,0.6065753201643626,0.22021722793579102,0.7217537760734558,0.4267989993095398,0.6375969052314758,0.5953832268714905,0.22272823750972748
15,0.0001951080988037006,0.6489688158035278,0.7348349690437317,0.8437073826789856,0.7425037225087484,0.19763649174800293,0.6565119028091431,0.734557032585144,0.8435235619544983,0.7448641657829285,0.19676380570118243,0.478458046913147,0.40491804480552673,0.6476377844810486,0.5103379587332407,0.20226705074310303,0.39158278703689575,0.4001636803150177,0.6400778293609619,0.47727476557095844,0.20460034906864166
16,0.0001923917592745031,0.6617448329925537,0.736036479473114,0.8440282940864563,0.747269868850708,0.182166290970949,0.6619663834571838,0.7365817427635193,0.8433323502540588,0.747293492158254,0.1811741042595643,0.5797545909881592,0.45993590354919434,0.06913943588733673,0.3696099768082301,0.3003564774990082,0.48538753390312195,0.4533648192882538,0.0683281421661377,0.33569349845250446,0.3062753677368164
17,0.00018910610209262735,0.6461169123649597,0.7393836379051208,0.8336414098739624,0.739713986714681,0.1696869249527271,0.6533541679382324,0.7392364144325256,0.8336479067802429,0.742079496383667,0.1678294892494495,0.7533039450645447,0.4184716045856476,0.1735689789056778,0.44844817618529004,0.20286069810390472,0.7489539980888367,0.41703853011131287,0.1613931804895401,0.44246190289656323,0.20676492154598236
18,0.0001852713844271915,0.6551228165626526,0.7382952570915222,0.8339942693710327,0.7424707810084025,0.15699004897704488,0.6566104292869568,0.7381501197814941,0.8340567946434021,0.7429391145706177,0.15592088504479484,0.5383614897727966,0.38070404529571533,0.5406737923622131,0.4865797758102417,0.16974441707134247,0.4816513657569885,0.3776041567325592,0.5315024256706238,0.4635859827200572,0.17535167932510376
19,0.000180911248587776,0.661644697189331,0.7417430281639099,0.8398584127426147,0.7477487126986185,0.14453622607084418,0.662841260433197,0.7428629994392395,0.8398181796073914,0.7485074798266093,0.1432164726349024,0.5117493271827698,0.4026898741722107,0.525979220867157,0.48013947407404584,0.1669558584690094,0.46867749094963074,0.4019138813018799,0.48704662919044495,0.45254600048065186,0.17196112871170044
