,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,tra_itrdice_0_DSC1,tra_itrdice_0_DSC2,tra_itrdice_0_DSC3,tra_itrdice_0_DSC_mean,tra_itrloss_0_mean,tra_itrdice_1_DSC1,tra_itrdice_1_DSC2,tra_itrdice_1_DSC3,tra_itrdice_1_DSC_mean,tra_itrloss_1_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean,val_itrdice_0_DSC1,val_itrdice_0_DSC2,val_itrdice_0_DSC3,val_itrdice_0_DSC_mean,val_itrloss_0_mean,val_itrdice_1_DSC1,val_itrdice_1_DSC2,val_itrdice_1_DSC3,val_itrdice_1_DSC_mean,val_itrloss_1_mean
10,0.00019999999999999998,1.076555959077982,0.5649774670600891,0.6956170201301575,0.7944025993347168,0.6849990288416544,0.5528973340988159,0.6967281103134155,0.7952061891555786,0.6816105445226034,0.5376368880271912,0.10351254791021347,0.23976004123687744,0.61818927526474,0.32048728813727695,0.5389190747187688,1.0058792617585923,0.7793663740158081,0.8058797717094421,0.894692599773407,0.8266462484995524,0.6059292554855347,0.7615163326263428,0.8441888093948364,0.7372114658355713,0.5020570390754276,0.08716356009244919,0.3578631281852722,0.7043799757957458,0.38313555469115573,0.5038222193717955
11,0.00019999999999999998,0.9507341870894799,0.5855432152748108,0.6962990760803223,0.7926754355430603,0.6915059089660645,0.5607361197471619,0.6968263387680054,0.7929390668869019,0.6835005084673563,0.4746340939631828,0.19590264558792114,0.42416879534721375,0.688090443611145,0.43605396151542664,0.4761000986282642,0.8901063217057125,0.7765021324157715,0.8089631199836731,0.8941149115562439,0.8265267213185629,0.6017270088195801,0.763933002948761,0.8392701148986816,0.7349767088890076,0.4440953671932221,0.3781050741672516,0.5784211158752441,0.7296180129051208,0.5620480676492056,0.4460109551747641
12,0.00019969188750662613,0.8417234466626095,0.5954269766807556,0.6973785758018494,0.7931426763534546,0.6953160762786865,0.5816311240196228,0.6987109184265137,0.7939503192901611,0.6914307872454325,0.4204286598242247,0.364349365234375,0.5383150577545166,0.7350726127624512,0.5459123452504476,0.4212947850043958,0.7965820140308806,0.7748598456382751,0.8057719469070435,0.8532996773719788,0.8113104899724325,0.6013002991676331,0.7611993551254272,0.795081615447998,0.7191937565803528,0.3974621706538731,0.48251208662986755,0.6259436011314392,0.7043547630310059,0.6042701502641042,0.39911985066201944
13,0.000198769449642484,0.7507590724871711,0.5887987613677979,0.6997367143630981,0.782734751701355,0.6904234091440836,0.5817965269088745,0.7009236216545105,0.7848805785179138,0.689200242360433,0.37503613233566285,0.4457961916923523,0.5916037559509277,0.7282827496528625,0.5885608990987142,0.375722938317519,0.7000801695717707,0.7758185863494873,0.8094291090965271,0.879362940788269,0.8215368787447611,0.6062763929367065,0.7630770206451416,0.8322880268096924,0.7338804801305135,0.3495574487580195,0.5424732565879822,0.6686456203460693,0.7727129459381104,0.6612772742907206,0.35052272015147734
14,0.00019723837354374777,0.6705075419866121,0.6017804145812988,0.7039875388145447,0.8053343892097473,0.7037007808685303,0.6009779572486877,0.7049065828323364,0.8049189448356628,0.7036011616388956,0.33504165548544657,0.5079182386398315,0.626405656337738,0.7543512582778931,0.6295583844184875,0.3354658869596628,0.628671462006039,0.7794166803359985,0.8039069771766663,0.8711113929748535,0.8181450168291727,0.6130169630050659,0.7626585364341736,0.8317237496376038,0.7357997496922811,0.313863820499844,0.5515363216400146,0.6496238112449646,0.7862371206283569,0.6624657511711121,0.3148076401816475
15,0.0001951080988037006,0.6040185479017406,0.5993255376815796,0.7027972936630249,0.8006640672683716,0.7009289662043253,0.5954678058624268,0.703350305557251,0.8004373908042908,0.6997518340746561,0.30188461908927344,0.5220121145248413,0.642654538154602,0.773228108882904,0.6459649205207825,0.3021339260614836,0.5698234412405225,0.7781249284744263,0.8100754022598267,0.8912531137466431,0.826484481493632,0.6304290890693665,0.7649742960929871,0.843028724193573,0.7461440364519755,0.2845684627691905,0.5733838081359863,0.677245557308197,0.7923679351806641,0.6809991002082825,0.28525497913360587
16,0.0001923917592745031,0.5527880590695601,0.5979872941970825,0.7040213942527771,0.7977952361106873,0.6999346415201823,0.60385662317276,0.7046021223068237,0.7980895042419434,0.7021827499071757,0.27624821892151463,0.5195386409759521,0.6383250951766968,0.7571960687637329,0.6383532683054606,0.27653983785555913,0.5184123900201586,0.7764599323272705,0.8117017149925232,0.8917986154556274,0.8266534209251404,0.639713704586029,0.7646185755729675,0.8430367708206177,0.7491230169932047,0.2590574622154236,0.5542318224906921,0.6869672536849976,0.7980649471282959,0.6797546744346619,0.25935492316881814
17,0.00018910610209262735,0.5050073930850396,0.6138293743133545,0.7051082849502563,0.7996011972427368,0.7061796188354492,0.6149007678031921,0.7065747976303101,0.7997158765792847,0.7070638140042623,0.2523125751660421,0.5478401780128479,0.6421687006950378,0.7654181122779846,0.6518089969952902,0.25269481723125153,0.5038762476709154,0.7648785710334778,0.7960943579673767,0.7939941883087158,0.7849890391031901,0.6024224758148193,0.7482854127883911,0.6910878419876099,0.6805985768636068,0.2516384849945704,0.5156388282775879,0.5953741669654846,0.6295519471168518,0.5801883141199747,0.25223776466316644
18,0.0001852713844271915,0.4669089629099919,0.6058547496795654,0.7057843804359436,0.7967886328697205,0.7028092543284098,0.6077551245689392,0.707326352596283,0.7970695495605469,0.704050342241923,0.2332980820765862,0.5405847430229187,0.6463651061058044,0.7622761130332947,0.6497419873873392,0.2336108803749084,0.4411538375748528,0.7743414640426636,0.8096198439598083,0.8718812465667725,0.8186141848564148,0.6274482607841492,0.7615038156509399,0.8265964984893799,0.7385161916414896,0.22029176056385036,0.5841938257217407,0.6724316477775574,0.7656762599945068,0.6741005778312683,0.22086207502418095
19,0.000180911248587776,0.43911337256431576,0.6000299453735352,0.7017208337783813,0.7937144041061401,0.6984883944193522,0.6001872420310974,0.7029532194137573,0.7937139272689819,0.6989514629046122,0.21943383056383872,0.5418189167976379,0.6450372338294983,0.7596064805984497,0.6488208770751953,0.2196795431467203,0.4045779095755684,0.7738226056098938,0.8091375231742859,0.8964250683784485,0.8264617323875427,0.6335097551345825,0.7669960856437683,0.846824586391449,0.7491101423899332,0.20203457408481174,0.5902066826820374,0.6950968503952026,0.8198757767677307,0.7017264366149902,0.2025433344973458
