,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,tra_itrdice_0_DSC1,tra_itrdice_0_DSC2,tra_itrdice_0_DSC3,tra_itrdice_0_DSC_mean,tra_itrdice_1_DSC1,tra_itrdice_1_DSC2,tra_itrdice_1_DSC3,tra_itrdice_1_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean,val_itrdice_0_DSC1,val_itrdice_0_DSC2,val_itrdice_0_DSC3,val_itrdice_0_DSC_mean,val_itrdice_1_DSC1,val_itrdice_1_DSC2,val_itrdice_1_DSC3,val_itrdice_1_DSC_mean
10,0.00019999999999999998,0.8070412296571846,0.4571470022201538,0.6127740144729614,0.7295441031455994,0.5998217066129049,0.08122815191745758,0.10050498694181442,0.5798717141151428,0.25386828432480496,0.45731687545776367,0.6128599047660828,0.729529082775116,0.5999019543329874,0.7991000188721553,0.6522861123085022,0.6969885230064392,0.8163168430328369,0.7218638261159261,0.0314674898982048,0.09524351358413696,0.6002694368362427,0.24232681343952814,0.48878583312034607,0.6446256637573242,0.7668013572692871,0.6334042847156525
11,0.00019999999999999998,0.7954732394880719,0.48712602257728577,0.6394712924957275,0.7554043531417847,0.6273338894049326,0.10075578838586807,0.09401831775903702,0.6115170121192932,0.2687637060880661,0.4872593879699707,0.639534592628479,0.7553979158401489,0.6273972988128662,0.7951907144652474,0.6670688986778259,0.6946700215339661,0.7639199495315552,0.7085529565811157,0.03590371459722519,0.07492730021476746,0.5839799642562866,0.23160365968942642,0.5188122987747192,0.6312086582183838,0.7124646902084351,0.6208285490671793
12,0.00019969188750662613,0.7908436137217066,0.5180906653404236,0.6384207606315613,0.7507410645484924,0.6357508301734924,0.09642857313156128,0.07717499881982803,0.6138647198677063,0.2624894306063652,0.5182069540023804,0.6384962201118469,0.7507338523864746,0.6358123421669006,0.7874241709709167,0.705899178981781,0.7087123394012451,0.8008180260658264,0.7384765148162842,0.07174888253211975,0.056168921291828156,0.5959377884864807,0.24128519743680954,0.5574713945388794,0.6452512741088867,0.7449462413787842,0.6492229700088501
13,0.000198769449642484,0.7857342005511863,0.5290518999099731,0.64453125,0.7551511526107788,0.642911434173584,0.10047145187854767,0.08419445157051086,0.6074408888816833,0.2640355974435806,0.5285364389419556,0.6445706486701965,0.7551436424255371,0.6427502433458964,0.783818707201216,0.7119050025939941,0.7132210731506348,0.7890457510948181,0.738057275613149,0.04035874456167221,0.06196586415171623,0.5791926383972168,0.22717241570353508,0.5933941006660461,0.64924556016922,0.7354841828346252,0.6593746145566305
14,0.00019723837354374777,0.780444912520456,0.5599423050880432,0.6734407544136047,0.7789022922515869,0.670761783917745,0.12496662139892578,0.062113966792821884,0.6403322815895081,0.2758042899270852,0.5600420832633972,0.673479437828064,0.7788969278335571,0.6708061496416727,0.7799505405955843,0.7106781005859375,0.7316765189170837,0.8395610451698303,0.7606385548909506,0.12107624858617783,0.07839462161064148,0.6318467855453491,0.2771058852473895,0.5822781324386597,0.6904546022415161,0.797511875629425,0.6900815367698669
15,0.0001951080988037006,0.7777418510781394,0.5741725564002991,0.6884416937828064,0.7910593748092651,0.6845578749974569,0.12795205414295197,0.07103095948696136,0.6329651474952698,0.27731605370839435,0.5742551684379578,0.6884647607803345,0.7910521030426025,0.6845906774202982,0.7803693731625876,0.7491085529327393,0.7385882139205933,0.8079801797866821,0.7652256488800049,0.10313903540372849,0.06455828994512558,0.5827053189277649,0.250134214758873,0.6209861040115356,0.6947961449623108,0.7738848328590393,0.6965556939442953
16,0.0001923917592745031,0.7788558065155405,0.5513936281204224,0.6759442090988159,0.7775484323501587,0.668295423189799,0.12405470758676529,0.06621632725000381,0.6091295480728149,0.26646686096986133,0.5514751672744751,0.6759653091430664,0.7775511145591736,0.6683305303255717,0.7780443231264749,0.7379762530326843,0.729032039642334,0.8398833274841309,0.7689638733863831,0.10762333124876022,0.08096779137849808,0.6588450074195862,0.2824787100156148,0.5950307250022888,0.6648962497711182,0.7774948477745056,0.6791406075159708
17,0.00018910610209262735,0.7766000091293717,0.5608001947402954,0.6863293051719666,0.7854759693145752,0.6775351564089457,0.13351811468601227,0.06476468592882156,0.6321678161621094,0.27681687225898105,0.5608819127082825,0.6863559484481812,0.7854616641998291,0.6775665084520975,0.7793129457367793,0.665945827960968,0.7540830969810486,0.8042111396789551,0.7414133548736572,0.04041925072669983,0.0595427006483078,0.5894593596458435,0.22980710367361704,0.5343651175498962,0.7120832204818726,0.7656300067901611,0.6706927816073099
18,0.0001852713844271915,0.7753423305205357,0.5897393822669983,0.6845677495002747,0.7814444899559021,0.6852505405743917,0.0990421399474144,0.06985890865325928,0.651132345199585,0.2733444646000862,0.5897881984710693,0.6845810413360596,0.7814209461212158,0.6852633953094482,0.7715922421879238,0.7706189751625061,0.7688543200492859,0.8472660779953003,0.7955797910690308,0.08547242730855942,0.05244522541761398,0.6475158333778381,0.26181116203467053,0.6165562272071838,0.7199749946594238,0.8004903197288513,0.712340513865153
19,0.000180911248587776,0.7729936924613549,0.6015695929527283,0.7042794823646545,0.7915924787521362,0.6991471846898397,0.10823645442724228,0.0571347251534462,0.6366316676139832,0.2673342823982239,0.6016623377799988,0.704319953918457,0.7915884852409363,0.6991902589797974,0.7752940681245594,0.735756516456604,0.7610123753547668,0.8355955481529236,0.7774548133214315,0.10767719149589539,0.055854104459285736,0.6029130816459656,0.25548145920038223,0.592934250831604,0.7223633527755737,0.8048374056816101,0.7067116697629293
